Ben Vaughn Combo,Etats-Unis,Philadelphie
Berlin 38,France,Avignon
Bertrand Burgalat,France,Paris
Bérurier Noir,France,Paris
Bérurier Noir,France,Paris
Beth Gibbons & Le Peuple de l'Herbe,Royaume-Uni,
Betty Boop,France,Dijon
Bibi Tanga & Le Professeur Inlassable,Republique Centrafricaine,
Big Buddha,France,
Big Buddha,France,
Big Buddha,France,Marseille
Big Buddha,France,Marseille
Big Buddha,France,Marseille
Big Buddha,France,Marseille
Big Buddha,France,Marseille
Big Buddha & Tamm Ha Tamm,France,Marseille
Big Soul,Etats-Unis,San Francisco
Bikini Machine,France ,Rennes
Bikini Machine,France ,Rennes
Bikini Machine,France ,Rennes
Bikini Machine,France ,Rennes
Bikini Machine,France ,Rennes
Bill Baxter,France,Paris
Bill Riley,Royaume-Uni,
Billy Ze Kick,France,Rennes
Bim Sherman,Jamaïque,
Birdy Nam Nam,France,
Birdy Nam Nam,France,
Birdy Nam Nam,France,
Birth of Joy,Pays-Bas,
Bison Bisou,France,Lille
Björk,Islande,Reykjavik
Bjørn Berge,Norvège,
Blackbelt Andersen,Norvège,
Black Blanc Beur,France,Nantes
Black Commando,Etats-Unis,New-York
Black Ham,France,Rennes
Black Lions & Wadada,France,Marseille
Black Maria,France,Evreux
Black Star Liner,Royaume-Uni,Leeds
Black Strobe,France,Montpellier
Blah Blah Blah,Irlande,Belfast
Blamma! Blamma!,Royaume-Uni,Londres
Blessed Virgins,France,Pontoise
Blindfolded,France,Bordeaux
Blind,France,
Blink 182,Etats-Unis ,Sacramento
Blitz The Ambassador,Etats-Unis,New-York
Blk Jks,Afrique du Sud,Johannesbourg
Bloodhound Gang,Etats-Unis,Trappes
Blubbery Hellbellies,Royaume-Uni,Londres
Blues'N'Trouble,Royaume-Uni,Londres
Blurt,Royaume-Uni,
Blurt,Royaume-Uni,Stroud
Blutch,France,
Bly,France ,Lens
Boat People Superstar,France ,Rennes
Bobby Conn,Etats-Unis ,Chicago
Bobby Hardcore Liberace,France,Paris
Bobby Hardcore Liberace,France,Paris
Bobby Hardcore Liberace ,France,Paris
Bobby Hardcore Liberace,France,Paris
Bobby Hardcore Liberace & Lee Hands Perrins,France,
Bobby Hardcore Liberace & Lee Hands Perrins,France,Paris
Bobby Sichran,Etats-Unis,New-York
Bob Log III,Etats-Unis,
Bo Diddley,Etats-Unis,Chicago
Bo Dollis & The Wild Magnolias,Etats-Unis,La Nouvelle Orléans
Bogeymen,France,Angoulême
Bomba Estereo,Colombie,Bogota
Bon Iver,Etats-Unis ,Northwestern
Boogaloo - Lotari and more,France ,Rennes
Boogie Balagan,Israël,
Boom Bip,Etats-Unis ,Cincinnati
Bootsauce,Canada,Montréal
Bootsy Collins'Rubber Band,Etats-Unis,Cincinnati
Boo Yaa T.R.I.B.E.,Samoa ,
Boplicity,France,
Border Crossing,Royaume-Uni,Londres
Borghesia,Yougoslavie,Ljubljana
Boris Brejcha,Allemagne,
Bosco Delrey,Etats-Unis,
Boston Bun,France,Lille
Botibol,France,
Boukman Eksperyans,Haïti,Port-au-Prince
Bow Low,France,Caen
Boys Noize,Allemagne,
Boys Wonder,Royaume-Uni,Londres
Braise Cendar,France,Lille
Brassy,Royaume-Uni,Manchester
Breakage,Royaume-Uni,
Breakestra,Etats-Unis ,Los Angeles
Breakout Project,France ,Rennes
Breton,Royaume-Uni,Londres
Brett Johnson,Etats-Unis ,Seattle
BrightBlack Morning Light,Etats-Unis ,
Brodinski,France,
Bros Before Hoes,France,Rennes
Brother Resistance,Trinité et Tobago,
Bruno Green & The Easy Sliders,France,Rennes
B.T.,Etats-Unis,Los Angeles
Budam,Iles Féroé,
Buddy Curtess and the Grasshoppers,Royaume-Uni,
Budju,France,Rennes
Bumcello,France,Paris
Bumpkin Island,France,Saint-Brieuc
Burning Heads,France,Orléans
Burning House,France ,
Busta Flex,France ,Paris
Cabaret Voltaire,Royaume-Uni,Sheffield
Café Tacuba,Mexique,Mexico 
Cage The Elephant,Etats-Unis ,Bowling Green
Calexico with Mariachi Luz de Luna,Etats-Unis ,Tucson
Calvin Harris,Royaume-Uni,Dumfries
Camera,Allemagne,Berlin
Campag Velocet,Royaume-Uni,Londres
Candie Payne,Royaume-Uni,Liverpool
Candie Prune,France ,Rennes
Cannibal Ox,Etats-Unis ,Niles
Canray Fontenot & Elridge Thibodeaux,Etats-Unis,Welsh
Capacocha,Pays-Bas,
Carbon Airways,France,Besançon
Carbon/Silicon,Royaume-Uni,Londres
Cardopusher,Venezuela,
Carl Cox,Royaume-Uni,Londres
Carl Hancock Rux,Etats-Unis ,New-York
Carlinhos Brown,Brésil,
Carmel,Hongrie,
Carmel,Royaume-Uni,Manchester
Carré Manchot,France,
Carte de Séjour,France,Lyon
Carton Park,France,
Casse Pipe,France ,Saint-Brieuc
Cassius,France,Paris
Cass McCombs,Etats-Unis,
Cast of Thousands,Irlande,
Catalogue,France,Paris
Cat Power,Etats-Unis,Atlanta
C.C.C.P.,Italie,Carpi
Cell,Etats-Unis,New-York
